model,item_id,pair_id,language,phenomenon,forced,logprob_A,logprob_B,n_tokens_A,n_tokens_B,choice,congruent
Qwen/Qwen2.5-0.5B,si01_en,si01,en,scalar_implicature,A,-16.8882,-25.588,11,11,A,1
Qwen/Qwen2.5-0.5B,si01_zh,si01,zh,scalar_implicature,A,-21.8125,-19.6181,10,10,B,0
Qwen/Qwen2.5-0.5B,si02_en,si02,en,scalar_implicature,B,-20.6607,-14.3115,11,9,B,1
Qwen/Qwen2.5-0.5B,si02_zh,si02,zh,scalar_implicature,B,-19.8665,-12.0613,8,8,B,1
Qwen/Qwen2.5-0.5B,si03_en,si03,en,scalar_implicature,A,-23.4786,-14.0256,8,10,B,0
Qwen/Qwen2.5-0.5B,si03_zh,si03,zh,scalar_implicature,A,-28.039,-20.7202,7,8,B,0
Qwen/Qwen2.5-0.5B,si04_en,si04,en,scalar_implicature,B,-16.8277,-15.241,10,8,B,1
Qwen/Qwen2.5-0.5B,si04_zh,si04,zh,scalar_implicature,B,-27.4285,-24.8485,9,7,B,1
Qwen/Qwen2.5-0.5B,si05_en,si05,en,scalar_implicature,A,-15.8949,-18.8881,11,11,A,1
Qwen/Qwen2.5-0.5B,si05_zh,si05,zh,scalar_implicature,A,-13.8461,-14.336,8,9,A,1
Qwen/Qwen2.5-0.5B,si06_en,si06,en,scalar_implicature,B,-26.2373,-24.8285,10,9,B,1
Qwen/Qwen2.5-0.5B,si06_zh,si06,zh,scalar_implicature,B,-29.4996,-23.7213,7,8,B,1
Qwen/Qwen2.5-0.5B,si07_en,si07,en,scalar_implicature,A,-20.2762,-21.2725,11,11,A,1
Qwen/Qwen2.5-0.5B,si07_zh,si07,zh,scalar_implicature,A,-22.1983,-23.5776,8,9,A,1
Qwen/Qwen2.5-0.5B,si08_en,si08,en,scalar_implicature,B,-25.1765,-8.8306,12,9,B,1
Qwen/Qwen2.5-0.5B,si08_zh,si08,zh,scalar_implicature,B,-17.6828,-13.3129,12,8,B,1
Qwen/Qwen2.5-0.5B,si09_en,si09,en,scalar_implicature,A,-34.2424,-34.3172,13,13,A,1
Qwen/Qwen2.5-0.5B,si09_zh,si09,zh,scalar_implicature,A,-38.5156,-40.0674,11,11,A,1
Qwen/Qwen2.5-0.5B,si10_en,si10,en,scalar_implicature,B,-31.8094,-31.7538,13,13,B,1
Qwen/Qwen2.5-0.5B,si10_zh,si10,zh,scalar_implicature,B,-34.5436,-28.18,16,15,B,1
Qwen/Qwen2.5-0.5B,si11_en,si11,en,scalar_implicature,A,-45.4913,-45.3394,13,14,B,0
Qwen/Qwen2.5-0.5B,si11_zh,si11,zh,scalar_implicature,A,-36.2533,-38.06,14,14,A,1
Qwen/Qwen2.5-0.5B,si12_en,si12,en,scalar_implicature,B,-26.4499,-22.9376,13,13,B,1
Qwen/Qwen2.5-0.5B,si12_zh,si12,zh,scalar_implicature,B,-30.3628,-28.9988,11,11,B,1
Qwen/Qwen2.5-0.5B,si13_en,si13,en,scalar_implicature,A,-33.5456,-41.5415,15,16,A,1
Qwen/Qwen2.5-0.5B,si13_zh,si13,zh,scalar_implicature,A,-31.3117,-41.2841,14,15,A,1
Qwen/Qwen2.5-0.5B,si14_en,si14,en,scalar_implicature,B,-43.4223,-32.6845,13,14,B,1
Qwen/Qwen2.5-0.5B,si14_zh,si14,zh,scalar_implicature,B,-38.1433,-31.9535,14,13,B,1
Qwen/Qwen2.5-0.5B,si15_en,si15,en,scalar_implicature,A,-34.5065,-24.0972,13,13,B,0
